source,relationship,target,weight,result,cmd,runtime,status
T_0,switched_out,CPU_3,44,,,,
CPU_3,switched_in,T_2208,4,,,,
T_2208,epoll_wait_exit,File_140637496150960,1,,,,
T_2208,ioctl,File_24,393,,62981,,
T_2208,ioctl_exit,T_2208,393,0,,,
T_2208,splice_in,File_24,98,,,,
T_2208,splice_out,File_28,98,,,,
T_2208,splice_exit,T_2208,196,4096,,,
T_2208,splice_in,File_27,98,,,,
T_2208,splice_out,File_29,98,,,,
T_2208,sync_file,File_29,196,,,,
T_2208,sync_file_range_exit,T_2208,196,0,,,
T_2208,runtime_stat,CPU_3,4,,,68528,
T_2208,switched_out,CPU_3,4,,,,
CPU_3,switched_in,T_0,44,,,,
T_0,scheduled_to_wake_on,CPU_3,23,,,,
T_0,wake_up,CPU_3,19,,,,
CPU_3,switched_in,T_7,15,,,,
P_7,contains,T_7,1,,,,
T_7,runtime_stat,CPU_3,15,,,3260,
T_7,switched_out,CPU_3,15,,,,
T_2186,switched_out,CPU_0,4,,,,
CPU_0,switched_in,T_15322,7,,,,
P_15322,contains,T_15322,1,,,,
T_15322,runtime_stat,CPU_0,7,,,741069,
T_15322,switched_out,CPU_0,7,,,,
CPU_0,switched_in,T_2186,3,,,,
P_2047,contains,T_2186,1,,,,
T_2186,scheduled_to_wake_on,CPU_0,1,,,,
T_2186,runtime_stat,CPU_0,3,,,1912,
T_2186,wake_up,CPU_0,1,,,,
T_2186,scheduled_to_wake_on,CPU_1,1,,,,
T_2186,wake_up,CPU_1,1,,,,
T_2186,scheduled_to_wake_on,CPU_2,1,,,,
T_2186,wake_up,CPU_2,1,,,,
T_2186,scheduled_to_wake_on,CPU_3,2,,,,
T_2186,wake_up,CPU_3,2,,,,
CPU_0,switched_in,T_0,27,,,,
T_0,switched_out,CPU_1,32,,,,
CPU_1,switched_in,T_5096,3,,,,
P_5096,contains,T_5096,1,,,,
T_5096,runtime_stat,CPU_1,3,,,15758,
T_5096,switched_out,CPU_1,3,,,,
CPU_1,switched_in,T_0,32,,,,
CPU_3,switched_in,T_2559,2,,,,
T_0,switched_out,CPU_2,131,,,,
CPU_2,switched_in,T_11873,2,,,,
P_11873,contains,T_11873,1,,,,
P_2559,contains,T_2559,1,,,,
T_2559,scheduled_to_wake_on,CPU_0,1,,,,
T_11873,runtime_stat,CPU_2,2,,,33237,
